Image ID,vehicle.n.01,timepiece.n.01,electronic_equipment.n.01,plaything.n.01,building.n.01,clothing.n.01,animal.n.01,writing_implement.n.01,kitchen_utensil.n.01,furniture.n.01,food.n.01,musical_instrument.n.01,weapon.n.01,sun.n.01,jewelry.n.01,body_of_water.n.01,plant.n.02,hand_tool.n.01,sky.n.01,tableware.n.01,bag.n.01,home_appliance.n.01,mountain.n.01,body_part.n.01,person.n.01
00a0b916fd5941a3,,,,,,,,,,,,,,,,,1,,,,,,,,
00a72fa141918070,,,,,,,,,,,,,,,,1,1,,,,,,,,
00c9616a917be867,,,,,1,1,,,,,,1,,,,,,,,,,,,1,1
00fe1cf6d7237787,,,,,,,,,,1,1,,,,,,,,,1,,,,,
0a8fc50cd3e3df1a,,,,,,,,1,,1,,,,,,,,,,,,,,,
0a45f7c7d29c7aaa,,,,,1,,,,,,,,,,,,1,,1,,,,,,1
0a833d0c929a5257,,,,,,,,,,,,,,,,1,,,1,,,,1,,1
0a883b2736f3cd27,,,,,1,,,,,,,,,,,1,,,,,,,,,
0aa379552b790eb9,,,,,,,,,,,,,,,,,1,,,,,,,,
0ab25a872a3a628f,,,,,,,,,,1,,,,,,,,,,1,,,,,
0ade7aef439e2102,1,,,,1,,,,,,,,,,,,,,,,,,,,
0b1c3cded3b46e46,,,,,,,,,,1,,,,,,1,,,,,,,,,
0b2a2c061ef16759,,,,,,,1,,,,,,,,,1,1,,1,,,,,1,
0b9f6e258d3f6405,,,,,,1,,,,,,,,,,,,,,,1,,,1,1
0b30ad1afeba9bca,1,,,,1,1,,,,,,,,,,,1,,,,,,,1,1
0b33a312419b0388,,,,,,,,,,1,1,,,,,,,,,1,,,,,
0bb03b3cad0efb39,,,,,,1,1,,,,,,,,,,,,,,,,,1,1
0bb774507fee3a7d,1,,,,1,,,,,,,,,,,,1,,,,,,,,1
0c1be464d6a90b72,,,,,,,,,,,,,,,,,1,,,,,,,,
0c78eab0bc0b64cb,,,,,,,,,,,1,,,,,,1,,,,,,,,
0c96676d3cc5df27,,,,,1,,,,,,1,,,,,,1,,1,,,,1,,
0cd79336747bd7cc,,,,,,,,,,,,,,,,1,1,,1,,,,1,,
0cf98efa67d18dba,,,,,,,,,,,1,,,,,,,,,1,,,,,
0cfd32e15fab83ef,,,,,,1,,,,,,,1,,,,,,,,,,,1,1
0d1a0e364c173cd9,,,,,,,,,,,1,,,,,,1,,,,,,,,
0d1c49afcf00e948,,,,,,,,,,1,,,,,,,1,,,1,,,,,
0d4d1169ecf7e56e,,,1,1,,1,,,,1,,,,,,,,,,,,,,,
0d5a9cfe6f7d27a3,,,,,,1,,,,,,,,,,,,,,,,,,1,1
0d95de414d78b220,,,,,,,1,,,,,,,,,,,,,,,,,1,
0d99f7332e5714ac,,,,,,1,,,,,,,,,,,1,,1,,1,,,1,1
0d79972ccf86b23c,,,,,,1,,,,1,,,,,,,,,,,,,,1,1
0d630353a0add6d5,1,,,,,1,1,,,,,,,,,,,,1,,,,1,1,1
0d9536776a0f5e73,,,,,,,1,,,,,,,,,,,,,,,,,1,
0d710305021a46b5,,,1,,,,,,,1,,,,,,,,,,,,,,,
0da01a4addc839e2,,,,,1,,,,,,,,,,,,1,,1,,,,,,1
0da34862b9e819c4,1,,,,,,,,,,,,,,,,1,,1,,,,,,
0dc7721eb25440cd,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1
0dff5becb0f6c70d,1,,,,1,,,,,,,,,,,,1,,,,,,,,
0e3ed3d9a681cd0f,,,,,,,,,,,,,,,,,1,,,,,,,,
0e41ef10ad09c6a9,1,,,,,,,,,,,,,,,,1,,1,,,,1,,
0e59eab29bb975eb,,,,,,,,,,,,,,,,,,,,,,,1,,
0e568caa07e50452,,,,,1,,,,,,,,,,,,1,,1,,,,1,,
0e2878aa394cb0f2,1,,1,,,1,,,,1,,,,,,1,1,,,,,,,1,1
0e6376304d9770b4,1,,,,,,,,,,,,,,,,,,,,,,,,
0ebb49849b2634fb,1,,,,1,,,,,,,,,,,,1,,,,,,,,
0ec61ac8e279245e,,,,,,,,,,,,,,,,,1,,,,,,,,
0f1b59c94d60658c,,,1,,,,,,,1,,,,,,,,,,,,,,,
0f5f32f742a168ea,1,,,,1,,,,,,,,,,,1,1,,1,,,,1,,
0f7e8a74e15b709f,,,,,,,,,,,1,,,,,,1,,,,,,,,
0f9b7d13a8e47159,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1
0f12ce1c9c84bf8d,,,,1,,,,,,,,,,,,,,,,,,,,,
